Year,BB_8,SE_BB8,YKDCZ,SE_YKDCZ,YKD_9,SE_YKD9,SP_10,SE_SP10,KS_11,SE_KS11,ALL,SE_ALL,CV,3_yr_ave
1985,18509,8250,30874,6836,38639,7373,8388,6631,4235,1304,100645,14657,0.15,NA
1986,11837,2690,24299,2116,28690,3262,4538,2230,3901,1640,73264,5479,0.07,NA
1987,17863,7932,24180,3441,31298,6747,3163,876,3901,925,80404,11041,0.14,84771
1988,9470,1722,24459,3724,44725,13356,3163,1243,2564,1004,84379,14063,0.17,79349
1989,34004,14213,33115,7043,25792,2457,9763,7974,6019,1073,108692,17955,0.17,91159
1990,9685,2059,30006,4741,44338,6999,7288,5140,23518,17544,114834,20247,0.18,102635
1991,15388,2754,18663,2679,31008,3728,14575,13127,6130,1488,85764,14255,0.17,103097
1992,15603,3133,19411,2179,28303,2437,4538,419,5684,1683,73539,4849,0.07,91379
1993,10223,2195,20180,1960,40281,12709,4400,795,5127,1344,80211,13138,0.16,79838
1994,10115,2461,18787,1716,46367,6427,3988,2342,4793,1652,84049,7650,0.09,79267
1995,20230,9937,23052,2204,67425,32418,5363,2313,4458,1226,120529,34079,0.28,94930
1996,13666,2730,23121,1651,61243,18793,6463,1510,6130,1664,110623,19194,0.17,105067
1997,13128,3858,28683,5582,52549,6482,7700,3368,13152,6343,115213,11817,0.1,115455
1998,13882,3453,33355,5666,53225,6888,8663,6096,17722,8298,126846,14053,0.11,117561
1999,14635,3995,27211,2243,63096,13128,8113,3747,8471,2325,121525,14588,0.12,121195
2000,16249,3838,28306,2992,48521,9682,7288,2811,10143,4606,110506,12105,0.11,119626
2001,14420,4443,24395,1929,39588,3118,10175,5533,7914,2166,96491,8276,0.09,109508
2002,17755,6158,31193,4790,49932,11949,8113,2516,11926,4277,118919,15109,0.13,108639
2003,14850,2025,23015,2782,41939,5492,8250,4111,8582,2278,96636,8006,0.08,104015
2004,13236,4315,27099,2523,51718,18589,8800,3709,11703,4660,112556,20150,0.18,109370
2005,24104,12840,23645,3266,63002,16405,5500,1495,6688,1532,122939,21195,0.17,110710
2006,17755,4513,31545,3124,62532,11460,4125,1044,8694,2786,124651,13051,0.1,120049
2007,15926,8706,30454,4813,80022,19420,11825,1269,17388,4377,155615,22290,0.14,134402
2008,12805,4762,32184,4439,86511,26692,7150,3181,35778,16039,174428,31973,0.18,151565
2009,13451,5407,27897,3220,46923,3030,7838,2954,12260,2550,108369,8001,0.07,146137
2010,8286,1527,37790,4667,44854,3993,10725,6359,9920,1715,111575,9134,0.08,131457
2011,15280,5950,33451,4461,54727,14286,8800,2877,11703,3368,123962,16704,0.13,114635
2012,10223,851,39291,5822,48709,6999,7425,2583,9697,1324,115345,9593,0.08,116960
2013,21091,14798,19635,1889,46264,8361,9213,2811,14155,3321,110358,17646,0.16,116555
2014,14635,5376,27413,4085,31783,3289,6875,4290,8471,3173,89177,9213,0.1,104960
2015,13774,2580,23000,6806,60206,16962,7379,3338,24744,13327,129102,23009,0.18,109546
2016,11191,2116,31251,5939,54163,20490,8800,3197,10923,2467,116328,21815,0.19,111536
